what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1283417576475
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1283417576476
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1283417576477
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1283417576478
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1283417576480
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1283417576481
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1283417576482
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1283417576537
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1283417576537
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1283417576538
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1283417576539
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1283417576540
started,bundle,org.eclipse.php.core,2.2.0.v20100616-1900,"org.eclipse.php.core",1283417576541
started,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1283417576603
started,bundle,org.eclipse.rse.core,3.1.100.v201003151933,"org.eclipse.rse.core",1283417576671
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1283417576676
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1283417576680
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1283417576687
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1283417576692
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1283417576700
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1283417576703
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1283417576706
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1283417576710
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1283417576711
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1283417576750
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1283417576751
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1283417576861
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1283417576865
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1283417576870
os,sysinfo,,,"win32",1283417576946
arch,sysinfo,,,"x86",1283417576946
ws,sysinfo,,,"win32",1283417576946
locale,sysinfo,,,"en_PH",1283417576946
processors,sysinfo,,,"2",1283417576946
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1283417576946
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1283417576946
java.specification.name,sysinfo,,,"Java Platform API Specification",1283417576946
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1283417576947
java.specification.version,sysinfo,,,"1.6",1283417576947
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1283417576947
java.version,sysinfo,,,"1.6.0_21",1283417576947
java.vm.info,sysinfo,,,"mixed mode, sharing",1283417576947
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1283417576947
